kernel,target,phase,weft,source,ratio,measurement
mul_mat_q4_1,SG2044,decode,6.070076,6.163456,0.984849,targeted-rerun
mul_mat_q8_0,K1/X60,prefill,2.195318,2.227205,0.985683,full-rerun
mul_mat_q5_1,SG2044,decode,4.389486,4.451393,0.986093,targeted-rerun
dequantize_row_iq3_s,K1/X60,tensor,150.169923,152.124657,0.987150,targeted-rerun
mul_mat_q2_k,SG2044,prefill,9.542808,9.658093,0.988063,targeted-rerun
dequantize_row_iq1_m,SG2044,tensor,696.894186,704.489798,0.989218,targeted-rerun
mul_mat_iq2_s,K1/X60,decode,1.434279,1.442920,0.994011,targeted-rerun
mul_mat_iq2_xs,SG2044,decode,4.070823,4.091731,0.994890,targeted-rerun
dequantize_row_q1_0,SG2044,tensor,742.386882,746.193360,0.994899,targeted-rerun
q4_1_q8_1,SG2044,decode,6.259834,6.279975,0.996793,targeted-rerun
q5_1_q8_1,SG2044,decode,4.757137,4.768850,0.997544,targeted-rerun
dequantize_row_iq1_s,SG2044,tensor,726.445533,727.099121,0.999101,full-rerun
mul_mat_tq1_0,K1/X60,decode,3.341113,3.338873,1.000671,targeted-rerun
mul_mat_iq1_s,K1/X60,prefill,2.751881,2.740584,1.004122,targeted-rerun
mul_mat_iq4_nl,SG2044,decode,6.552751,6.514902,1.005810,targeted-rerun
quantize_row_q8_1,SG2044,prefill,537.129225,531.554348,1.010488,targeted-rerun
mul_mat_f32,K1/X60,decode,2.033257,2.011619,1.010757,targeted-rerun
mul_mat_q6_k,SG2044,prefill,7.539165,7.443768,1.012816,targeted-rerun
mul_mat_iq2_xxs,SG2044,prefill,4.167119,4.111831,1.013446,targeted-rerun
q1_0_q8_0,SG2044,decode,11.666197,11.448178,1.019044,targeted-rerun
mxfp4_q8_0,SG2044,decode,6.441955,6.301585,1.022275,targeted-rerun
mul_mat_q3_k,SG2044,decode,7.390958,7.214206,1.024501,targeted-rerun
mul_mat_f16,K1/X60,decode,3.413098,3.323888,1.026839,targeted-rerun
mul_mat_q5_1,K1/X60,prefill,1.763575,1.714436,1.028662,targeted-rerun
mul_mat_q3_k,SG2044,prefill,7.407265,7.174796,1.032401,targeted-rerun
mul_mat_q5_0,SG2044,decode,5.509608,5.331145,1.033476,targeted-rerun
q5_0_q8_0,SG2044,decode,5.618888,5.419456,1.036799,targeted-rerun
dequantize_row_q2_k,SG2044,tensor,652.383703,627.160324,1.040218,targeted-rerun
mul_mat_q6_k,K1/X60,decode,2.456386,2.348172,1.046084,targeted-rerun
mul_mat_iq3_xxs,SG2044,decode,2.740739,2.618095,1.046845,targeted-rerun
mul_mat_mxfp4,SG2044,decode,6.560977,6.219665,1.054876,targeted-rerun
iq2_xs_q8_k,SG2044,decode,4.432626,4.164948,1.064269,targeted-rerun
dequantize_row_q4_k,SG2044,tensor,730.225769,682.681445,1.069643,targeted-rerun
dequantize_row_q5_k,SG2044,tensor,413.902137,380.580081,1.087556,targeted-rerun
dequantize_row_tq2_0,SG2044,tensor,733.096140,673.603336,1.088320,targeted-rerun
quantize_row_q8_k,K1/X60,prefill,393.633969,361.364495,1.089299,targeted-rerun
mul_mat_f16,SG2044,prefill,16.497160,15.033602,1.097352,targeted-rerun
iq2_xxs_q8_k,K1/X60,decode,1.842464,1.677788,1.098151,targeted-rerun
dequantize_row_nvfp4,SG2044,tensor,166.822264,151.596170,1.100439,targeted-rerun
mul_mat_mxfp4,K1/X60,prefill,2.913049,2.629021,1.108036,targeted-rerun
mul_mat_q4_0,K1/X60,prefill,2.518589,2.265953,1.111492,targeted-rerun
dequantize_row_tq1_0,SG2044,tensor,746.124269,668.582579,1.115979,targeted-rerun
q1_0_q8_0,K1/X60,decode,4.211660,3.772297,1.116471,targeted-rerun
mul_mat_q6_k,SG2044,decode,5.172008,4.632221,1.116529,targeted-rerun
mul_mat_q4_1,SG2044,prefill,6.999483,6.264967,1.117242,targeted-rerun
mul_mat_q3_k,K1/X60,prefill,2.729316,2.442635,1.117365,targeted-rerun
q4_1_q8_1,K1/X60,decode,2.362929,2.108143,1.120858,targeted-rerun
mul_mat_q1_0,SG2044,decode,11.654274,10.371659,1.123665,targeted-rerun
mul_mat_iq1_m,K1/X60,prefill,1.637023,1.446879,1.131417,targeted-rerun
mul_mat_iq2_xxs,K1/X60,decode,1.881503,1.661424,1.132464,targeted-rerun
mul_mat_q4_1,K1/X60,decode,2.360337,2.084146,1.132520,targeted-rerun
mul_mat_q1_0,K1/X60,decode,4.217241,3.691932,1.142286,targeted-rerun
q4_0_q8_0,K1/X60,decode,2.563562,2.229556,1.149808,targeted-rerun
mul_mat_iq3_s,K1/X60,decode,1.889053,1.636725,1.154166,targeted-rerun
mul_mat_iq3_s,K1/X60,prefill,1.934900,1.674948,1.155200,targeted-rerun
iq3_s_q8_k,K1/X60,decode,1.916235,1.653851,1.158650,targeted-rerun
mul_mat_q4_0,K1/X60,decode,2.562203,2.205897,1.161524,targeted-rerun
mul_mat_q2_k,K1/X60,prefill,2.853182,2.452543,1.163357,targeted-rerun
quantize_row_q8_k,SG2044,prefill,623.956599,532.877220,1.170920,targeted-rerun
mul_mat_f32,SG2044,prefill,8.952425,7.432725,1.204461,targeted-rerun
q3_k_q8_k,K1/X60,decode,2.967530,2.435477,1.218459,targeted-rerun
mul_mat_mxfp4,SG2044,prefill,7.701514,6.224872,1.237216,targeted-rerun
q5_1_q8_1,K1/X60,decode,2.066931,1.668792,1.238579,targeted-rerun
mul_mat_q3_k,K1/X60,decode,2.975911,2.391775,1.244227,targeted-rerun
mul_mat_q5_1,K1/X60,decode,2.065853,1.653383,1.249470,targeted-rerun
quantize_row_q8_0,K1/X60,prefill,414.249628,330.541129,1.253247,targeted-rerun
q5_0_q8_0,K1/X60,decode,2.272166,1.811943,1.253994,targeted-rerun
iq2_xs_q8_k,K1/X60,decode,2.224437,1.773442,1.254305,targeted-rerun
mul_mat_q8_0,K1/X60,decode,2.646275,2.107139,1.255862,targeted-rerun
q8_0_q8_0,K1/X60,decode,2.672510,2.126279,1.256895,targeted-rerun
mul_mat_iq2_xs,K1/X60,decode,2.218244,1.752529,1.265739,targeted-rerun
mul_mat_q5_0,K1/X60,decode,2.273063,1.794935,1.266376,targeted-rerun
tq2_0_q8_k,K1/X60,decode,6.259811,4.936389,1.268095,targeted-rerun
mul_mat_q5_0,K1/X60,prefill,2.375165,1.847937,1.285306,targeted-rerun
mul_mat_tq1_0,K1/X60,prefill,4.492145,3.458089,1.299025,targeted-rerun
quantize_row_q8_1,K1/X60,prefill,374.930825,287.550932,1.303876,targeted-rerun
mul_mat_tq2_0,K1/X60,prefill,6.519875,4.973980,1.310796,targeted-rerun
mul_mat_tq2_0,K1/X60,decode,6.285132,4.793486,1.311182,targeted-rerun
q2_k_q8_k,K1/X60,decode,3.259219,2.479582,1.314423,targeted-rerun
tq2_0_q8_k,SG2044,decode,14.531254,11.025345,1.317986,targeted-rerun
mul_mat_q2_k,K1/X60,decode,3.242513,2.448814,1.324116,targeted-rerun
mul_mat_tq2_0,SG2044,decode,14.427236,10.885378,1.325378,targeted-rerun
dequantize_row_iq3_xxs,SG2044,tensor,599.988513,441.756230,1.358189,targeted-rerun
q5_k_q8_k,K1/X60,decode,1.732970,1.254589,1.381305,targeted-rerun
mul_mat_q5_1,SG2044,prefill,6.159784,4.441808,1.386774,targeted-rerun
mul_mat_q5_k,K1/X60,decode,1.735393,1.246182,1.392568,targeted-rerun
q4_k_q8_k,K1/X60,decode,3.498297,2.504987,1.396533,targeted-rerun
mul_mat_iq4_xs,K1/X60,prefill,2.408904,1.717705,1.402397,targeted-rerun
mul_mat_q4_0,SG2044,prefill,10.628383,7.560868,1.405709,targeted-rerun
mul_mat_q5_0,SG2044,prefill,7.523907,5.351731,1.405883,targeted-rerun
quantize_row_q8_0,SG2044,prefill,774.349765,544.531422,1.422048,targeted-rerun
mul_mat_iq4_nl,SG2044,prefill,9.368906,6.574506,1.425036,targeted-rerun
mul_mat_q4_k,K1/X60,decode,3.535533,2.461816,1.436148,targeted-rerun
iq4_xs_q8_k,K1/X60,decode,2.496775,1.713500,1.457120,targeted-rerun
mul_mat_iq4_xs,K1/X60,decode,2.487180,1.692141,1.469842,targeted-rerun
mul_mat_f32,SG2044,decode,2.542392,1.717123,1.480611,targeted-rerun
mul_mat_f32,K1/X60,prefill,3.812890,2.574251,1.481165,targeted-rerun
mul_mat_iq2_s,SG2044,decode,3.009866,2.025036,1.486327,targeted-rerun
dequantize_row_iq2_xs,SG2044,tensor,693.932108,460.114658,1.508172,targeted-rerun
iq2_s_q8_k,SG2044,decode,2.987954,1.969226,1.517324,targeted-rerun
iq3_s_q8_k,SG2044,decode,1.828844,1.193213,1.532705,targeted-rerun
mul_mat_iq4_xs,SG2044,prefill,8.972841,5.829310,1.539263,targeted-rerun
dequantize_row_iq2_s,K1/X60,tensor,233.080837,146.691980,1.588913,targeted-rerun
dequantize_row_mxfp4,K1/X60,tensor,261.063117,164.129294,1.590594,targeted-rerun
dequantize_row_iq2_xxs,SG2044,tensor,706.078977,443.356980,1.592574,targeted-rerun
mul_mat_q4_k,K1/X60,prefill,4.035984,2.508977,1.608617,targeted-rerun
dequantize_row_iq2_s,SG2044,tensor,690.636754,426.506007,1.619290,targeted-rerun
mul_mat_iq3_s,SG2044,prefill,3.263867,2.002326,1.630038,targeted-rerun
dequantize_row_q6_k,SG2044,tensor,317.184933,193.883766,1.635954,targeted-rerun
dequantize_row_q3_k,SG2044,tensor,614.007551,371.344615,1.653471,targeted-rerun
mul_mat_iq3_s,SG2044,decode,1.878940,1.097783,1.711577,targeted-rerun
dequantize_row_q5_0,K1/X60,tensor,274.503629,159.625889,1.719669,targeted-rerun
dequantize_row_q4_0,SG2044,tensor,735.922145,427.166253,1.722800,targeted-rerun
mul_mat_tq2_0,SG2044,prefill,20.674339,11.988708,1.724484,targeted-rerun
dequantize_row_iq4_xs,SG2044,tensor,323.329264,181.075002,1.785610,targeted-rerun
mul_mat_q5_k,SG2044,prefill,7.492898,4.099214,1.827887,targeted-rerun
dequantize_row_q4_1,K1/X60,tensor,275.937422,150.375552,1.834989,targeted-rerun
dequantize_row_iq2_xs,K1/X60,tensor,251.219177,136.691485,1.837855,targeted-rerun
dequantize_row_q5_1,K1/X60,tensor,292.748229,147.564155,1.983871,targeted-rerun
mul_mat_nvfp4,SG2044,decode,0.602091,0.303237,1.985546,targeted-rerun
dequantize_row_q4_1,SG2044,tensor,733.244933,368.226321,1.991289,targeted-rerun
dequantize_row_q4_k,K1/X60,tensor,339.908294,167.307230,2.031641,targeted-rerun
dequantize_row_iq3_xxs,K1/X60,tensor,302.810100,148.399270,2.040509,targeted-rerun
mul_mat_q5_k,K1/X60,prefill,2.578564,1.262649,2.042186,targeted-rerun
dequantize_row_nvfp4,K1/X60,tensor,207.382822,100.971723,2.053870,targeted-rerun
mul_mat_q8_0,SG2044,prefill,8.483849,4.011235,2.115022,targeted-rerun
dequantize_row_q8_0,SG2044,tensor,725.309845,331.203030,2.189925,targeted-rerun
dequantize_row_q2_k,K1/X60,tensor,299.749387,135.461938,2.212794,targeted-rerun
dequantize_row_iq4_xs,K1/X60,tensor,357.291130,157.965043,2.261837,targeted-rerun
iq4_xs_q8_k,SG2044,decode,6.223529,2.694378,2.309820,targeted-rerun
dequantize_row_q6_k,K1/X60,tensor,236.867252,101.395625,2.336070,targeted-rerun
dequantize_row_q5_k,K1/X60,tensor,262.845650,112.098412,2.344776,targeted-rerun
dequantize_row_q3_k,K1/X60,tensor,268.199741,114.227230,2.347949,targeted-rerun
mul_mat_iq4_xs,SG2044,decode,6.649087,2.696453,2.465864,targeted-rerun
dequantize_row_q4_0,K1/X60,tensor,432.844064,170.608773,2.537056,targeted-rerun
dequantize_row_iq1_m,K1/X60,tensor,332.549578,121.667900,2.733256,targeted-rerun
dequantize_row_q8_0,K1/X60,tensor,509.645193,184.053964,2.768999,targeted-rerun
dequantize_row_iq2_xxs,K1/X60,tensor,420.068190,148.438660,2.829911,targeted-rerun
dequantize_row_iq4_nl,K1/X60,tensor,440.167182,155.038185,2.839089,targeted-rerun
dequantize_row_tq2_0,K1/X60,tensor,574.686576,173.628831,3.309857,targeted-rerun
dequantize_row_q1_0,K1/X60,tensor,584.378510,150.026726,3.895163,targeted-rerun
nvfp4_q8_0,SG2044,decode,1.225329,0.302702,4.047971,targeted-rerun
dequantize_row_iq4_nl,SG2044,tensor,738.365556,181.518702,4.067711,targeted-rerun
dequantize_row_iq1_s,K1/X60,tensor,533.465507,129.806058,4.109712,targeted-rerun
dequantize_row_q5_0,SG2044,tensor,733.575736,168.780869,4.346320,targeted-rerun
q5_k_q8_k,SG2044,decode,5.056894,1.156774,4.371549,targeted-rerun
mul_mat_q5_k,SG2044,decode,5.090654,1.154787,4.408306,targeted-rerun
dequantize_row_q5_1,SG2044,tensor,733.043673,160.592736,4.564613,targeted-rerun
dequantize_row_mxfp4,SG2044,tensor,738.239495,160.680279,4.594462,targeted-rerun
dequantize_row_tq1_0,K1/X60,tensor,549.595571,110.428724,4.976926,targeted-rerun
mul_mat_nvfp4,K1/X60,decode,0.945475,0.161658,5.848613,targeted-rerun
nvfp4_q8_0,K1/X60,decode,0.945144,0.158325,5.969645,targeted-rerun
mul_mat_nvfp4,K1/X60,prefill,1.049023,0.162006,6.475211,targeted-rerun
mul_mat_nvfp4,SG2044,prefill,2.184215,0.304350,7.176655,targeted-rerun
q8_0_q8_0,SG2044,decode,7.267915,0.668255,10.875961,targeted-rerun
mul_mat_q8_0,SG2044,decode,7.394346,0.620785,11.911283,targeted-rerun
